language,tongue twister,translation
Afrikaans,Pos vir Poen Papenfus met spoedpos., Mail it to Poen Papenfus (personal name) using speed-mail.
Afrikaans,Bettie Bettie babbel bekkie babbel al te baie!," Bettie, Bettie talkative little mouth talks all too much!"
Akan or Asante,"Kwaa Paa ko pam kohunu mampam.
Gyae pam ko pam mampam.
Mampam foro pam na ampa?"," Kwaa Paa goes to clear the bush, sees a pangolin (anteater) and stops to chase the pangolin. The pangolin climbs a tree. Is it true?"
Albanian,"Kali ka katër këmbë, këmbët e kalit kërcasin kur kali kalon kanalin."," The horse has four legs, the horse's legs cracks when the horse pass the canal. Italian: Il cavallo ha quatro gambe, le gambe del cavallo crepitano quando il cavallo passa il canale."
Albanian,"Kali, karroca, karroca, karocierri."," Horse, coach, coach, coachman!"
Albanian,"E shes thesin, s'e shes thesin."," I sell the bag, I don't sell the bag."
Albanian,Polli pula e Lleshit ne kacile t'leshit., (?)
Albanian,"Tri sopata lata, presin tre plepa pleq, i treti plep pak palce kishte pasur."," Three axe blades (or Three sharp axes), cut three old poplars, the third poplar had little pitch."
Albanian,E shes e s'e shes thesin., I sell and (I) don't sell the bag.
Albanian,Shishja ishte në shesh dhe shishet ishin në sheshe., The bottle was in the square and the bottles were in the squares.
Albanian,shtatë shtete, seven states
Albanian,Karikaturisti karikaturon karikatura karakteristike!, The caricaturist caricaturates caracteristic caricatures.
Albanian,"Thuaj tha m'i thënë a i ka thënë thuaj,tha i kam thënë thuaj m'i thënë!"," She/he said tell her/him if she/he told her/him,she/he said that I told her/him to tell her/him!"
Albanian,Kupa me kapak kupa pa kapak.," The cup with a lid, the cup without a lid."
Albanian,Karikaturisti karikaturoi nje karikature karakteristike., A caricaturist caricatured a characteristic caricature.
Albanian,"Thanas thuthuqi tha se tharku i thiut thurret me thupra të thata thane, thiu therret me thikë.", (?)
Albanian,"Kapaki pa kupë, kupa pa kapak!"," A lid without a cup, a cup without a lid!"
Albanian,"A e then pipin era, a s'e then pipin era?"," Does the wind break the bud, or does it not?"
Alur,Agwarawangawendo ogwaro wang awendo, A praying mantis has scratched the eye of a guinea fowl.
"Amharic, Ethiopian or Amarigna",Irasen berase kalankolpetskat man yankolptslgneal.," If I don´t say that I admire myself, who shall then admire me?"
"Amharic, Ethiopian or Amarigna","Tertariw tetertariwen seletereterew, tetertariw betertariw bemeterteru teteratro tertariwen tereterew."," Since the suspector suspected the suspected, the suspected became suspicious of the suspector."
"Amharic, Ethiopian or Amarigna","Be bug bate, bug geba."," In the sheep house, the sheep go in."
"Amharic, Ethiopian or Amarigna",bebeg bet bebeg geba, the sheep goes in the sheep house
Arabic,, These apricots ar not our apricots. The place of these apricots is not the place of our apricots
Arabic,roukhi we roukhik ya roukhi roukhain be roukh matrakh ma troukh roukhik roukhi bet roukh!," My soul and your soul are one soul. Wherever your soul goes, my soul also goes!"
Arabic,Arnab nattat men manwamha tabgha manwam gheer manwamha., A rabbit jumped to another bed looking for another.
Arabic,Balah ta'allaq taht qal'it Halab., Dates were hung over the castle of Halab (Aleppo).
Arabic,Klit Khyara oukhalit Khyara laachaya, She was eating one cucumber and left one cucumber for Shaya.
Arabic,hadal mish mish mish min mish mishna, These apricots are not from our apricots
Arabic,"Daq al-bab Kaloo, ""Mean?"" Kaloo, ""Amin"" Kaloo, ""Malak?"" Kaloo, ""l-hajji"" Kaloo, ""Malha?"" Kaloo, ""Mawtat"" Kaloo, ""Balla?!"" Kaloo, ""Walla."" Kaloo, ""Hakni!"" Kaloo, ""Yalla!"," He knocked on the door He said, ""Who?"" He said, ""Amin"" He said, ""What's your problem?"" He said, ""The old woman"" He said, ""What's her problem?"" He said, ""She's dead"" He said, ""Really?!"" He said, ""Really"" He said, ""Follow me!"" He said, ""Let's go!"
Arabic,"Tabagna tabag takum. Lamma tabagna ja yetbug tabakum, liga tabakum tabig tabagna", Our plate came to sit on top of yours. When he came he found you plate on top of him
Arabic,"Teen darna min teen dar toag, wa teen dar toag min teen darna"," Our house's clay is from toag's house clay, and toag's house clay is from our house's clay..."
Arabic,Laa wala balla wallahi!," No, you, for god's sake I swear!"
Arabic,"Khamees comash khashem Habash, habash comash khashem Khamees."," Khamees catches the nose of Habash, Habash catches the nose of Khamees."
Arabic,Larry wara larry wara larry..., A lorry after a lorry after a lorry...
Arabic,Tarik teg taki, Tarik hits (is hitting?) Taki
Arabic,Hutt el turschi bitschies el schurti, Put the sour vegetables (?) in the pocket of the policeman
Arabic,Khait hareer ala hait khaleel., A silk thread on Khaleel's wall.
Arabic,"Battatna battat baten battatkom, tegdar battatkom etbot baten battatna methel ma battatna battat baten battetkom."," Our duck blew up your duck's stomach, can your duck blow up our duck's stomach like our duck blew up your duck's stomach?"
Arabic,kasab afasna kasar afas asabna ye2dar asab afaskom yeksar afas asabkom zay ma asab afasna kasar afas asabna?, Our sugar canes broke our sugar canes' basket. Could your sugar canes brake your sugar canes' basket like our sugar canes did?
Arabic,arnab anwar nat fe manwar anwar., Anwars (arabic name) rabbit jumped into Anwars court.
Arabic,"wa7id abou kirsh, abil wa7id abou kirsh, galuh: ""3indak kirsh?"" galuh: maftikirsh !"," One fat man with a big fat belly, met another fat man with a big fat belly, he said ""Do you have a big fat belly?"" The man replied: ""I don't think so!"
Arabic,طربوش تطربشنا به وطربوش ما تطربشنا به قوم يا متطربش وتطربش بالطربوش الذي لم نتطربش به," There is a tarboosh, that we have set up, and a tarboosh, that we have not set up. Stand up tarboosh-wearer, and set up the tarboosh that we have not set up. German: (Da ist) ein Tarboush, den wir aufgesetzt haben, und ein Tarboush, den wir nicht aufgesetzt haben. Steh auf, Tarboush-Träger, und setz den Tarboush auf, den wir nicht aufgesetzt haben."
Arabic,Hosam haseb hisab Hassen, Hosam counted Hassan's account
Arabic,"Ihna Indana Baqra, wakhalti baraka Indaha Baqra, Ihna dabahna baqaratna,wakhalti baraka dabahat bakarataha, telaat maraqa raqabat wakhalti baraka attam min maraqa raqabat baqratna"," We have a cow, and my aunt Baraka has a cow. We slaughtered our cow, and our aunt Baraka slaughtered her cow. The soup of our cow was tastier than than of my aunt Baraka's cow."
Arabic,Karton tekartanabu yegdar shaikh almitkartineen yitkartan bikartoon matikartanabu," A cardboard in a cardboard, can you, the master of the cardboards, be a cardboard?"
Arabic,"Ihna Dabahna Bagretna elbarga, Dar el-borga dabaho bagrethom elbarga, telaat maraget lahmet ragbet bagretna elbarga atyab men maraget lahmet ragbet bagrethom elbarga"," We killed our spotted cow, Al-Borga family also killed their spotted cow. The soup made from the meat of the neck of our spotted cow came much tastier than the soup made from the meat of the neck of Dar Al-Borga's spotted cow !"
Arabic,"Shajret Natesh, Jeet Antesh(h)a, Mannatshatesh !"," A bush tree, I tried to pull it out, but it did not go out !"
Arabic,"Ana Ma Statyastaksh, Ma Testatsyesneesh !"," Iam not making a fool of you, don't make a fool of me !"
Arabic,khalti basima basbisitli basbosa bilsamna wil sokar bas ya khosara til'it sokhna lasa'itni fi lisani, aunt basima prepared me some basbosa (an arabian dessert) with sugar and margarine but unfortunatly it was too hot and I burnt my tongue!
Arabic,Deak sagahfe we deak sagahfengah nat el deak el sagahfe nagah el deake el sagahfengah gahfe yakeder el deak el sagahfe yangahe el deak el sagahfengah zay el deak el sagahfengah nagh el deak el sagahfe gafe?, A rooster (whith the name of) Saghfe jumped on the second one (called Sagahfengah) and beat him up. Can the rooster Sgahfangah jump on the rooster Sagahfe and beat him up like the rooster Sagahfe beat the Sagahfangah?
Arabic,, (?)
Arabic,, (?)
Arabic,, (?)
Arabic,, (?)
Arabic,," We got seven fezzes from the fezzes maker. Tell me, O fez-man, can you make for us seven fezzes the same as the ones we got from the fezzes maker."
Arabic,," We got seven pins from the pins maker. Tell me, O pin-man, can you make for us seven pins the same as the ones we got from the pins maker."
Arabic,طرقتُ البابَ حتى كلمتني، فلما كلمتني كلمتني، قالت: يااسماعيلُ صبراً قلتُ:يا أسماء عيلَ صبري," I knocked the door until my arm hurts, she said: Isma'il wait.  I said: Asma, I've lost my patience."
Arabic,أسعد سعيد صابر صعد سور سعد صايل, Asaad Saied Saber climbed Saad Sayel's fence.
Arabic,Khamees kumash khashim Habash, Khamees caught Habash's nose
Arabic,Tabakhna fi matbahkum tabkhatna., We cooked our dish in your kitchen.
Aragonese,Baxa t'abaxo lo faxo xuto de buxo y traye lo trallo tallau y trestallau., Bring down the dry bunch of box and fetch the tree trunk cut and split. Spanish: Bájate el haz seco de boj y trae el trozo de tronco cortado y dividido.
Aragonese,Chenta la chen choben chunto á la chera y charra o charraire Chaimet d'os charretes d'a chocante chiqueta de Chaca que chifla lo chuflo cuan sofla xufrina., The young people are eating by the fire and Jimmy the chatterbox is talking about the calves of a funny young girl from Chaca who whistles the whistle when the cold wind blows. Spanish: Come la gente joven junto a la hoguera y habla el parlanchín de Jaimito de las pantorrillas de la graciosa chiquilla de Jaca que toca el silbato cuando sopla aire frío.
Armenian,"Գառը գարնան, ձիւնը ձմռան:"," Lamb in the spring, snow in the winter."
Armenian,Ծիտը ծառին ծլւլում է՝ ծիւ ծիւ ծիւ:, The sparrow sings on the tree tziv tziv tziv.
Armenian,Փայտփորիկը փորեց փայտի փտած փորը:, The woodpecker carved the rotten belly of the wood.
Armenian,Manrashakaravazamanavcharakanoutioun, German: Der Verkauf von Dosen des sehr feinen Kristallzuckers
Armenian,"tsitik, tsitik, tsitik, ..."," German: Spatzen, Spatzen, Spatzen, ..."
Armenian,Tsite Tsarrin Tselvelooma, German: Der Spatz zwitschert auf dem Baum.
Armenian,"Tser Tsatouri Tandsi tsarrin, tasse tsanr tands kar tserin"," German: Auf dem Birnenbaum des alten Tsatour(Name), Waren zehn schwere Birnen auf der Spitze."
Armenian,Զարթուցիչը ջեռուցիչից հեռու դիր:,
Armenian,"Ծիտը ծովից ջուր բերեց իր ճուտին ծարավ,
Ծառի ճյուղից ճուտը տեսավ, ճիկ-ճիկ արավ:",
Armenian,"Ծտի ճուտը՝ ճմբան ծերին, ծտի ճտի ճիտը՝ ծուռ։",
Armenian,"Կար–չկար մի գաճաճ արջ կար, այդ գաճաճ արջի աջ աչքը չկար։",
Armenian,"Ճայը ճկեց ճիտը, կծեց ճտի ճիտը:",
Armenian,"Մի ջուխտ չարուխ դրի ջուր,
Թրջավ` թող թրջի,
Չթրջավ, թող չթրջի:",
Armenian,"Մկրատ տուր մտրակ տամ, մտրակ տուր մկրատ տամ:",
Armenian,"Մուկ թողեմ ձուկ ուտեմ, ձուկ թողեմ մուկ ուտեմ:",
Armenian,"Ցոլակը ցատկեց ցից ցանկապատից, ցանկապատը ցնցվեց Ցոլակի ցատկից:",
Armenian,"Ուլը մի բուռ ուռ ոլորեց՝
Ուռ առ ոլոր, ուռ առ ոլոր:",
Assamese,Bogakoi Bogoli Boholai Bohise Bolukat Biyoli Bela., The white cranes are spreading (their wings) wide sitting on the sand in the evening.
Assamese,Bokul Bagorise Bobosa Bonote Butoli Bilawngoi Bola, Let's collect the Bokul flowers scattered in the grass and distribute them. Bokul is a small white flower with a beautiful fragrance (perhaps a camellia?).
Assamese,"Lau Puli Lorai Rulu, Rulu Lorai Lofa", A boy planted a lau (fuzzy squash) plant and then planted a lofa (similar to spinach) plant.
Avar or Avaric,ункъазаралда ункънуcиялда ункъоялда ункъо къверкъ къвакъвалебуго кьода гъоркь, Four thousand four hundred eighty-four frogs are croaking below the bridge.
Azerbaijani or Azeri,Getdim gordum bir derede bir berber bir berberi ber-ber byirdir. Dedim ay berber niye bu berberi ber-ber beyirdirsen? Dedi buberber oglu men berber oglun ber-ber beyirdmeseydi men berber oglu bu berber oglun ber-ber beyirdmezdim.," I went to somewhere and saw the barber's son hurting another barber's son. I asked why the first barber's son was hurting the other barber's son. He answered if that barber's son  had not hurt his barber's son before, his barber's son would not bee hurting that barber's son then."
Azerbaijani or Azeri,"Aşpaz Abbas aş asmış, asmışsa da az asmış."," Cook Abbas cooked (a) meal, but he cooked little."
Azerbaijani or Azeri,Qırx küp qırxı da qulpu qırıq küp., 40 hilts and the 40 are broken.
"Basque, Euskara or Euskera","Alkipean kapa, kapa alkipean; alkipean kapa, kapa alkipean. ..."," The cape, under the chair; under the chair, the cape. (To be said, at least, ten times in a row)"
"Basque, Euskara or Euskera",Arabako abadearen kapelapean baba-garau bi.," Under the Araba priest´s hat, two beans."
"Basque, Euskara or Euskera",Aurten gure ortuan artoa berde erne da., This year the corn has come out green in our field. (To be said many times)
"Basque, Euskara or Euskera","Arre, orrea, aurrean, arraioa."," Gee, dough, in front, lightning. (To be said ten times in just one breath)"
"Basque, Euskara or Euskera","Baga, biga, higa, laga, boga, sega, zahi, zohi, bele, harma, zixpa, tiro, punp"," One, two, three, four, five, scythe, bran, ripe, crow, arm, spark, shot, bang"
"Basque, Euskara or Euskera","Beleak Berreagara zerbait daroa; badaroa, berea daroa; baba errea agoan daroa."," A crow takes something to Berreaga; if it really takes it, it takes it; it takes in its beak a cooked bean. (To be said twenty times)"
"Basque, Euskara or Euskera",Eztot ikusi Akerreneko akerra bezain adarrak okerrak dituen aker adarrokerrik., I havent seen a billy goat with horns as twisted as the one from Akerre.
"Basque, Euskara or Euskera",Juanikotxu: akerra Matarrapeiko aker adar okerragorik eztot nik ikusi., Little John: I havent seen a billy goat with horns as twisted as Matarrapeis one. (To be said time after time)
"Basque, Euskara or Euskera","Ikusi xut aker oker, adar makar okerrik; baia etxut ikusi Lakarreko aker-oker adar-makerra bezain ederrik."," Ive seen twisted billy goats, with thin twisted horns; but I havent seen any as beautifully twisted as the one-eyed billy goat with extremely twisted horns of Lakarre."
"Basque, Euskara or Euskera","Iputz-apezak napar-istupez atorra, napar-apezak iputz-istupez atorra"," To priests from Gipuzkoa, shirts from Navarre; to priests from Navarre, shirts from Gipuzkoa"
"Basque, Euskara or Euskera",Kanbon palangak pagoz," In Kanbo, the sticks are made from beech-trees. (To be said nine times in just one breath)"
"Basque, Euskara or Euskera","Murku zar arkapeko, arkapeko murku zar."," Old vessels underneath chests, underneath chests old vessels"
"Basque, Euskara or Euskera",Olagarroaren erro errea larra errean gora, The cooked tentacle of the octopus on top of the burnt meadow. (To be said ten times in just one breath)
"Basque, Euskara or Euskera",Prailaren kapelan pikua pranko.," In the friars hat, plenty of figs."
"Basque, Euskara or Euskera",Prailaren kapa - kapeleran bost baba - garau.," In the friar's hood, five beans. (To be said five times in a single breath, there used to be bettings upon this)"
"Basque, Euskara or Euskera",Akerrak adarrak okerrak ditu. Okerrak adarrak akerrak ditu., Billy-goat's horns are twisted. Twisted horns are owned by billy-goat.
"Basque, Euskara or Euskera","Itsasoan dabiltzan itsasontziaren ontzian, itsasoko itsazkiak, itxita daude."," In the box of the ship on sea the sea fish are held. Spanish: En el cubo del barco que va por el mar, los peces del mar estan encerrados."
"Basque, Euskara or Euskera","Aldapeko sagarraren adarraren puntan, puntaren puntan, txoria zegoen kantari. Txiruliruli, txiruliruli, nork dantzatuko ote du soinutxu hori?"," The bird was singing on the tip of the branch, on the tip of the tip of the apple tree below the slope. Txiruliruli, txiruliruli [onomatopoeia], who will dance that sweet melody?"
"Basque, Euskara or Euskera","Atzo, atzo, atzo, atzo hil ziren hamar atso; baina ardoa merkatzen ez bada, hilko dirade beste asko. Atzo, atzo, atzo, atzo hil ziren hamar atso."," Yesterday, yesterday, yesterday, yesterday ten old women died; but if the wine doesn't reduce its price, a lot more will die. Yesterday, yesterday, yesterday, yesterday ten old women died."
"Basque, Euskara or Euskera","Aintziko urerat ilargi laurden bat erori zan. Zuri, jori, gauko zitu zori: igelek jan dute, igeltto igeldariek. Orain, berriz, intzirika dagoz igel igelttoak, igel igeltto xoroak ... Gau minean aintziko igelek dute, ai ei! ilargi-min."," A quarter of moon fell into the water of the marsh. White, plentiful, ripe fruit of the night: the frogs have eaten it, the swimmer frogs. Now, however, the frogs are groaning, the crazy frogs, little frogs ... In the unpleasant night the frogs of the marsh, ai ei! miss the moon."
"Basque, Euskara or Euskera","Tiriki tauki tauki, mailuaren hotsa. Tiriki tauki tauki, mailuaren hotsa. Ederki dantzatzen da gure mutil motza, ederki dantzatzen da gure mutil motza."," Tiriki tauki tauki [onomatopoeia], the sound of the hammer. Tiriki tauki tauki [onomatopoeia], the sound of the hammer. Our short boy dances very well, our short boy dances very well."
Bengali or Bangla,," Lime fresh in water, hair fresh in oil."
Bengali or Bangla,, The bird eats ripe papaya.
Bengali or Bangla,," Uncle don't polish the polished bamboo-strips, polish the un-polished ones!"
Bengali or Bangla,, The Tiger is hanging from the babla-tree.
Bengali or Bangla,baaro haari raabri baro barabari," Twelve bowl of ""Raabri"" (sweet) is too much!"
Bengali or Bangla,kacha gab paka gab, Green gab (a fruit). ripe gab.
Bengali or Bangla,"kolikatar kakoli kakake kohilo: kaka, kak keno ka-ka kore?"," Calcutta's Kakoli asked his uncle: ""Uncle! Why (do) the crows say kra-kra?"""
Bengali or Bangla,Lal Ril Nil Ril," Red reel, blue reel"
Breton,C’hwec’h merc’h gwerc’h war c’hwec’h marc’h kalloc’h o tougen c’hwec’h sac’h kerc’h.," Six virgins on six stallions bear six bags of oats. German: Sechs Jungfrauen auf sechs Hengsten tragen sechs Säcke mit Hafer. French: Six vierges à six étalons portent six sacs d’avoine. Dutch: Zes maagden op zes hengsten dragen zes zakken haver.
"
Breton,"Pa ri ti to, to pa ri ti."," Cover (that) when you make the house, when you make the house cover (that). French: Quand tu fais ta maison, couvre là, couvre quand tu fais ta maison."
Breton,"Santegadenn on, ha ne zisantegadennin ket 'keit ha ne vo ket disantegadennet an holl santegadennezed."," I'm from Santeg and I will not be un-santegized as long as all others from Santeg are not un-santegized.   French: Je suis de Santeg et je ne serai pas ""désanteguisée"" tant que toutes les santegadennezed ne seront pas désantéguisées
"
Bulgarian скоропоговорки (skoropogovorki),Крал Карл и кралица Клара крали кларинети от кралските кларинетисти., King Karl and queen Klara stole clarinettes from the royal clarinettists.
Bulgarian скоропоговорки (skoropogovorki),Непротивоконституционствувателствувайте!, Do not act against the Constitution!
Bulgarian скоропоговорки (skoropogovorki),Окарикатуреният окарикатурява на карикатурист., The caricatured (person) caricatured the caricaturist.
Bulgarian скоропоговорки (skoropogovorki),Крал Карл и кралица Клара крали кларинети., King Karl and Queene Clara stole clarinettes
Bulgarian скоропоговорки (skoropogovorki),Чичковите червенотиквеничковчета., The uncle's red pumpkins
Bulgarian скоропоговорки (skoropogovorki),Шейсет и шест шишета стоят на шосето., Sixty six bottles are standing on the street.
Bulgarian скоропоговорки (skoropogovorki),Крал Карл и кралица Клара крали круши., King Karl and queen Klara stole pears.
Bulgarian скоропоговорки (skoropogovorki),Рачо реже риба., The crab is cutting the fish
Bulgarian скоропоговорки (skoropogovorki),"Петър плет плете, по три пръта преплита, през три плета преплита. Плети Петре плета, подпри Петре плета, падна Петре плета!"," Peter makes a hedge, he makes it with three wands and uses them every third time. Peter, make the hedge! Peter,shore the hedge up! Peter, the hedge has fallen!"
Bulgarian скоропоговорки (skoropogovorki),Крал Карл и кралица Клара крали кларинети от кралските кларинетисти., King Karl and queen Klara stole clarinettes from the royal clarinettists.
Bulgarian скоропоговорки (skoropogovorki),Шише с уши на шосе се суши., A bottle with ears on the road is drying.
Bulgarian скоропоговорки (skoropogovorki),Шесдесет и шест шишета се сушат на шестдесет и шест шосета., Sixty-six bottles are drying on sixty-six streets.
Bulgarian скоропоговорки (skoropogovorki),Наредили се шопи да косят - шоп след шопр шоп след шоп.,
Bulgarian скоропоговорки (skoropogovorki),Сухо шише на шосе се суши., A dry bottle on the road is drying.
Bulgarian скоропоговорки (skoropogovorki),Сашо суши шише на шейсет и шестото широко шосе.,
Bulgarian скоропоговорки (skoropogovorki),Вяла кобила в нова колиба.,
Bulgarian скоропоговорки (skoropogovorki),Окарикатурените карикатуристи окарикатуриха неокарикатурените карикатури., The caricatured caricaturists caricatured the non caricatured caricatures.
Bulgarian скоропоговорки (skoropogovorki),"Сака отиде при Сака да си сака сака, но Сака не сака да сака, че Сака си сака сака."," Saka went to Saka to get his sack, but Saka doesn't care that Saka wants his sack."
Bulgarian скоропоговорки (skoropogovorki),Три тиквеничковчета и три вързелогърлежничковчета., Three little pumpkinheads and three little throat-binding men.
Catalan embarbussaments,A mi si que re m'hi fa que faci sol., For me is not important that the sun shines. Wordplay with the musical scores.
Catalan embarbussaments,"Duc pa sec al sac, m'assec on sóc, i el suco amb suc."," I carry dry bread in my bag, I sit down where I am and I dip the bread into the gravy. Spanish: Llevo pan seco en este saco, me siento aquí i lo mojo en la salsa."
Catalan embarbussaments,"Peret, treu-te el pot del pit, que put."," Pete, take the pot off your chest because it's rotting."
Catalan embarbussaments,"Una gallina xica, pica, camatorta i ballarica va tenir sis polls xics, pics, camatorts i ballarics. Si la gallina no hagués sigut xica, pica, camatorta i ballarica, els sis polls no haguessin sigut xics, pics, i ballarics.",
Catalan embarbussaments,"Diu qui, diu jo, diu si, diu tu, diu qui, diu jo, diu no, diu Ah!"," Says who, says me, says yes, says you, says who, says me, says no, says Ah!
"
Catalan embarbussaments,"Senyor amo, l'una aca la he treta, l'atra aca la trac?"," Master, I took one jack out (of the stall), should I take the other one out too?
"
Catalan embarbussaments,A les sis tinc set el càntir és buit és nou i encara es deu.," At six (o'clock) I'm thirsty, the jar is empty, it is new and is still owed. Wordplay with the numbers.
Spanish: Se juega con los números: seis (sis), siete(set), ocho (vuit), nueve (nou)y diez (deu). También con los dos significados y misma pronunciación de: set: siete/sed, vuit/buit: ocho/vacío, nou: nueve/nuevo, deu: diez/debe (del verbo:deber). Tradución: A las seis tengo sed, el cántaro está vacío, es nuevo y todavía se debe."
Catalan embarbussaments,Tinc tanta sang que a les cinc tinc son., I have so much blood that at five I'm sleepy. Spanish: Tengo tanta sangre que a las cinco tengo sueño.
Catalan embarbussaments,"Quan m'ajupia codonys collia Quan m'aixecava, codonys agafava De genollons, collia, collia De genollons, collia, codonys."," When I crouched I gathered quince. When I got up I gathered quince. On my knees I gathered, gathered, on my kneees I gathered quince. Spanish: Cuando me agachaba, membrillos cogía. Cuando me levantaba, membrillos agarraba. De rodillas, cogía, cogía de rodillas, cogía membrillos."
Catalan embarbussaments,"A Rubí cotó collir, a Rubó collir cotó.", Pick cotton in Rubí (a town); Pick cotton in Rubó. Spanish: En Rubí algodón recoger; en Rubó recoger algodón.
Catalan embarbussaments,"A pi xic escala no cal, a pi alt escala cal; si cal du-li."," No need for ladder for a small pine tree, needed for a tall pine tree; if needed, take it. Spanish: Pino pequeño no necesita escalera, pino alto si que la necesita, si la necesita llévala.
"
Catalan embarbussaments,"Barcelona sona si la bossa sona. Però tant si sona com si no sona, Barcelona és bona."," Barcelona sounds good if the money is good, but whether it sounds good or not, Barcelona is good."
Catalan embarbussaments,"Com a ploure, prou que plou, Pau, però plou poc."," Well, it really rains, Paul, but it only rains a little."
Catalan embarbussaments,Duc com puc un ruc a un duc rus mut., I bring a donkey as I can to a dumb Russian duke. SpanishLlevo como puedo un burro a un duque ruso mudo.
Catalan embarbussaments,"En Pinxo va dir a en Panxo:- Vols que et punxi amb un punxó?I en Panxo va dir a en Pinxo:- Punxa'm, però a la panxa no!"," Pinxo asked Panxo, ""Do you want me to pierce you with a punch?"" And Panxo answered Pinxo ""Pierce me, but not in my belly!"" Spanish: Pinxo preguntó a Panxo: - Quieres que te clave un alfiler? Y Pinxo dijo a Panxo: - Clavamelo, pero no en la barriga."
Catalan embarbussaments,En Fabra té una cabra sobre cada arbre., Fabra has a goat over each tree.
Catalan embarbussaments,"En Pere va per la carretera amb un carro carregat de rocs, que fa carric, carrac, carric, carrac."," Peter go on the road by lorry with stones, to make a carric, carrac, carric, carrac."
Catalan embarbussaments,En cap cap hi cap que Déu en deu deu., It's unthinkable that God owes ten (10).
Catalan embarbussaments,La boteta de vi vi té.Té tap?Tap té.Té tap i tapó?Tap i tapó té.," I have a leather wine bottle. Does it hve a cap? It has a cap. Does it have a cap and a stopper? Cap and stopper it has. Spanish: La bota de vino, tiene vino. Tiene tapón? Tapón tiene. Tiene tapón y taponcito? Tapón y taponcito tiene."
Catalan embarbussaments,Si qui deu deu diu que deu deu diu el que deu i deu el que diu., If one who owes ten says that he owes ten he is saying what he owes and he's owing what he says.
Catalan embarbussaments,- Els catalans parlant sembla que trenqueu nous. - Que te creus que te crec?," - When you Catalans speak, it seems like you break nuts. - Do you think I believe you?"
Catalan embarbussaments,"Tinc una gana, una son i una set, que no menjo, ni dormo, ni bec, si menjava, dormia i bevia, la gana, la son i la set em passarien, però com que no menjo, ni dormo, ni bec, no em passa ni la gana, ni la son, ni la set."," I´m so hungry, sleepy and thirsty, that I don´t eat, nor sleep, nor drink, if I ate, slept and drank, hunger, sleep and thirst would be over, but as I don´t eat, nor sleep, nor drink, hunger, sleep and thirst are still with me."
Catalan embarbussaments,"Un rus que és ros, té un ris i està al ras sense fer res."," A Russian guy that is blonde, has a curl in his hair and is standing outside (the street) without doing anything."
Catalan embarbussaments,"Una ovella, serella, merella, llanuda, llanada cap i coronada tenia sis corderets serells, merells, llanuts, llanats, cap i coronats. Si la ovella no haguera sigut serella, merella, llanuda, llanada cap i coronada, els seus corderets no haurien sigut serells, merells, llanuts, llanats, cap i coronats."," One lamb, ""serella"", ""merella"" [nonsense words which play with ""mesell"", green person], woolly, full of wool, head and
crowned has six little lambs serells, merells, woolly, full of wool, head and crowned. If the lamb hadn't been serella, merella, woolly, full of wool, head and crowned, its little lambs wouldn't have been serells, merells, woolly, full of wool, head and crowned."
Catalan embarbussaments,Collint llidons a la llidonera., Picking quince from the quince tree. Spanish: Cogiendo membrillos en el (arbol del membrillo)
